ID,Title,Priority,Dependencies,Milestone,Epic,ParentEpic,Area,Status,Type,Description,Effort,StoryPoints,Sprint
SET-04,[TASK][SET-04] Configurer test runners unitaires + integration,P0,"SET-01, SET-02",M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,Configurer test runners unitaires + integration,S,3,Sprint-02
SET-05,[TASK][SET-05] Configurer Playwright E2E et smoke pipeline,P0,"SET-01, SET-04",M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,Configurer Playwright E2E et smoke pipeline,M,5,Sprint-02
SET-06,[TASK][SET-06] Configurer CI GitHub Actions multi-apps,P0,"SET-03, SET-04, SET-05",M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,Configurer CI GitHub Actions multi-apps,M,5,Sprint-02
LIB-03,[TASK][LIB-03] Creer packages/api-client (typed client web/mobile vers API),P1,"LIB-01, SET-02",M2 - Workspace bootstrapped,LIB,LIB,shared-libs,backlog,task,Creer packages/api-client (typed client web/mobile vers API),S,3,Sprint-03
LIB-04,[TASK][LIB-04] Ajouter tests unitaires libs + guideline de publication interne,P1,"LIB-02, LIB-03",M2 - Workspace bootstrapped,LIB,LIB,shared-libs,backlog,task,Ajouter tests unitaires libs + guideline de publication interne,S,2,Sprint-03
SET-07,[TASK][SET-07] Mettre en place variables d'environnement et runbook local dev,P1,SET-02,M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,Mettre en place variables d'environnement et runbook local dev,S,2,Sprint-02
MOB,[EPIC][MOB] Mobile shell,P0,"SET, LIB",M3 - Mobile shell ready,MOB,,mobile-shell,backlog,epic,Fournir l'ossature mobile Ionic/Capacitor prete pour les modules,M,19,Sprint-03
MOB-01,[TASK][MOB-01] Initialiser app Ionic Angular dans apps/mobile,P0,SET-01,M3 - Mobile shell ready,MOB,MOB,mobile-shell,backlog,task,Initialiser app Ionic Angular dans apps/mobile,S,3,Sprint-03
MOB-02,[TASK][MOB-02] Mettre en place navigation shell (tabs/stack) et layout de base,P0,MOB-01,M3 - Mobile shell ready,MOB,MOB,mobile-shell,backlog,task,Mettre en place navigation shell (tabs/stack) et layout de base,M,5,Sprint-03
MOB-04,[TASK][MOB-04] Configurer Capacitor (Android/iOS) et builds debug,P0,MOB-01,M3 - Mobile shell ready,MOB,MOB,mobile-shell,backlog,task,Configurer Capacitor (Android/iOS) et builds debug,M,5,Sprint-03
MOB-03,"[TASK][MOB-03] Integrer theming, design tokens et composants UI de base",P1,"MOB-01, LIB-01",M3 - Mobile shell ready,MOB,MOB,mobile-shell,backlog,task,"Integrer theming, design tokens et composants UI de base",S,3,Sprint-03
MOB-05,[TASK][MOB-05] Ajouter service notifications push stub (FCM wiring initial),P1,"MOB-04, SET-02",M3 - Mobile shell ready,MOB,MOB,mobile-shell,backlog,task,Ajouter service notifications push stub (FCM wiring initial),S,3,Sprint-03
AUT,[EPIC][AUT] Auth,P0,"SET, LIB, MOB",M4 - Auth ready,AUT,,auth,backlog,epic,Offrir une authentification securisee et consistente web/mobile,M,19,Sprint-04
AUT-01,"[TASK][AUT-01] Configurer Supabase Auth (providers, policies de base)",P0,"ARC-04, SET-02",M4 - Auth ready,AUT,AUT,auth,backlog,task,"Configurer Supabase Auth (providers, policies de base)",S,3,Sprint-04
AUT-02,[TASK][AUT-02] Implementer endpoints API auth/session (NestJS),P0,"AUT-01, LIB-01",M4 - Auth ready,AUT,AUT,auth,backlog,task,Implementer endpoints API auth/session (NestJS),M,5,Sprint-04
AUT-03,[TASK][AUT-03] Implementer ecrans login/signup/reset mobile,P0,"MOB-02, AUT-02",M4 - Auth ready,AUT,AUT,auth,backlog,task,Implementer ecrans login/signup/reset mobile,M,5,Sprint-04
AUT-04,[TASK][AUT-04] Implementer garde routes protegees web/mobile,P0,"AUT-02, LIB-03",M4 - Auth ready,AUT,AUT,auth,backlog,task,Implementer garde routes protegees web/mobile,S,3,Sprint-04
AUT-05,[TASK][AUT-05] Ajouter gestion role participant/admin minimal,P1,"AUT-02, ARC-04",M4 - Auth ready,AUT,AUT,auth,backlog,task,Ajouter gestion role participant/admin minimal,S,3,Sprint-04
ANN,[EPIC][ANN] Announcements,P0,"AUT, MOB, DSH",M5 - Core participant flows ready,ANN,,announcements,backlog,epic,Diffuser annonces et mises a jour importantes,S,10,Sprint-05-06
DSH,[EPIC][DSH] Dashboard,P0,"AUT, MOB, LIB",M5 - Core participant flows ready,DSH,,dashboard,backlog,epic,Proposer une page d'accueil participant avec synthese utile,S,13,Sprint-05-06
PRG,[EPIC][PRG] Programs,P0,"AUT, MOB, LIB",M5 - Core participant flows ready,PRG,,programs,backlog,epic,Permettre consultation et suivi simple des programmes,M,19,Sprint-05-06
RES,[EPIC][RES] Resources,P0,"AUT, MOB, LIB",M5 - Core participant flows ready,RES,,resources,backlog,epic,Offrir un acces simple a des ressources utiles aux participants,M,14,Sprint-05-06
SUP,[EPIC][SUP] Support,P0,"SET, LIB, AUT",M5 - Core participant flows ready,SUP,,support,backlog,epic,Mettre en place un canal de support simple et fiable,M,16,Sprint-05-06
WEB,[EPIC][WEB] Website,P0,"SET, SUP",M5 - Core participant flows ready,WEB,,website,backlog,epic,Livrer le site vitrine MVP oriente conversion,M,19,Sprint-05-06
ANN-01,[TASK][ANN-01] Definir format annonce et regles de publication MVP,P0,ARC-04,M5 - Core participant flows ready,ANN,ANN,announcements,backlog,task,Definir format annonce et regles de publication MVP,S,2,Sprint-05
ANN-02,[TASK][ANN-02] Implementer endpoints annonces (feed + detail),P0,"SET-02, LIB-01, AUT-02, ANN-01",M5 - Core participant flows ready,ANN,ANN,announcements,backlog,task,Implementer endpoints annonces (feed + detail),S,3,Sprint-06
ANN-03,[TASK][ANN-03] Implementer flux annonces dans mobile dashboard/feed,P0,"MOB-02, DSH-02, ANN-02",M5 - Core participant flows ready,ANN,ANN,announcements,backlog,task,Implementer flux annonces dans mobile dashboard/feed,S,3,Sprint-06
DSH-01,"[TASK][DSH-01] Definir contenu dashboard MVP (cartes, rappels, dernieres actus)",P0,ARC-04,M5 - Core participant flows ready,DSH,DSH,dashboard,backlog,task,"Definir contenu dashboard MVP (cartes, rappels, dernieres actus)",S,2,Sprint-05
DSH-02,[TASK][DSH-02] Exposer endpoint dashboard aggregate cote API,P0,"SET-02, LIB-01, AUT-02",M5 - Core participant flows ready,DSH,DSH,dashboard,backlog,task,Exposer endpoint dashboard aggregate cote API,S,3,Sprint-06
DSH-03,[TASK][DSH-03] Implementer vue dashboard mobile,P0,"MOB-02, AUT-04, DSH-02",M5 - Core participant flows ready,DSH,DSH,dashboard,backlog,task,Implementer vue dashboard mobile,M,5,Sprint-06
PRG-01,[TASK][PRG-01] Definir modele programme/cohorte/statut progression MVP,P0,ARC-04,M5 - Core participant flows ready,PRG,PRG,programs,backlog,task,Definir modele programme/cohorte/statut progression MVP,S,3,Sprint-05
PRG-02,[TASK][PRG-02] Implementer endpoints liste/detail programmes,P0,"SET-02, LIB-01, AUT-02, PRG-01",M5 - Core participant flows ready,PRG,PRG,programs,backlog,task,Implementer endpoints liste/detail programmes,M,5,Sprint-06
PRG-03,[TASK][PRG-03] Implementer ecran mobile liste + detail programme,P0,"MOB-02, PRG-02",M5 - Core participant flows ready,PRG,PRG,programs,backlog,task,Implementer ecran mobile liste + detail programme,M,5,Sprint-06
RES-01,"[TASK][RES-01] Definir taxonomie ressources (type, theme, audience)",P0,ARC-04,M5 - Core participant flows ready,RES,RES,resources,backlog,task,"Definir taxonomie ressources (type, theme, audience)",S,2,Sprint-05
RES-02,"[TASK][RES-02] Implementer endpoints ressources (liste, filtre, detail)",P0,"SET-02, LIB-01, AUT-02, RES-01",M5 - Core participant flows ready,RES,RES,resources,backlog,task,"Implementer endpoints ressources (liste, filtre, detail)",M,5,Sprint-06
RES-03,[TASK][RES-03] Implementer ecran mobile ressources (recherche/filtre),P0,"MOB-02, RES-02",M5 - Core participant flows ready,RES,RES,resources,backlog,task,Implementer ecran mobile ressources (recherche/filtre),M,5,Sprint-06
SUP-01,[TASK][SUP-01] Implementer endpoint contact/support (API + validation),P0,"SET-02, LIB-01",M5 - Core participant flows ready,SUP,SUP,support,backlog,task,Implementer endpoint contact/support (API + validation),M,5,Sprint-05
SUP-02,[TASK][SUP-02] Integrer formulaire support dans mobile,P0,"MOB-02, SUP-01, AUT-04",M5 - Core participant flows ready,SUP,SUP,support,backlog,task,Integrer formulaire support dans mobile,S,3,Sprint-06
SUP-03,[TASK][SUP-03] Integrer formulaire contact site web,P0,"WEB-01, SUP-01",M5 - Core participant flows ready,SUP,SUP,support,backlog,task,Integrer formulaire contact site web,S,3,Sprint-05
WEB-01,"[TASK][WEB-01] Implementer pages core (Accueil, A propos, Services, Programmes, Contact)",P0,"SET-01, ARC-03",M5 - Core participant flows ready,WEB,WEB,website,backlog,task,"Implementer pages core (Accueil, A propos, Services, Programmes, Contact)",L,8,Sprint-05
WEB-02,[TASK][WEB-02] Integrer formulaires de contact et CTA conversion,P0,"WEB-01, SUP-01",M5 - Core participant flows ready,WEB,WEB,website,backlog,task,Integrer formulaires de contact et CTA conversion,S,3,Sprint-05
WEB-03,"[TASK][WEB-03] Ajouter SEO technique (meta, sitemap, robots, Open Graph)",P0,WEB-01,M5 - Core participant flows ready,WEB,WEB,website,backlog,task,"Ajouter SEO technique (meta, sitemap, robots, Open Graph)",S,3,Sprint-05
ANN-04,[TASK][ANN-04] Ajouter notification push pour annonce prioritaire,P1,"MOB-05, ANN-02",M5 - Core participant flows ready,ANN,ANN,announcements,backlog,task,Ajouter notification push pour annonce prioritaire,S,2,Sprint-07
DSH-04,[TASK][DSH-04] Implementer vue dashboard web participant (si activee MVP),P1,"WEB-01, AUT-04, DSH-02",M5 - Core participant flows ready,DSH,DSH,dashboard,backlog,task,Implementer vue dashboard web participant (si activee MVP),S,3,Sprint-06
PRG-04,[TASK][PRG-04] Implementer marquage de progression minimale,P1,"PRG-02, LIB-02",M5 - Core participant flows ready,PRG,PRG,programs,backlog,task,Implementer marquage de progression minimale,S,3,Sprint-06
PRG-05,[TASK][PRG-05] Ajouter scenarii de test Given/When/Then programmes,P1,"PRG-03, PRG-04, QAT-01",M5 - Core participant flows ready,PRG,PRG,programs,backlog,task,Ajouter scenarii de test Given/When/Then programmes,S,3,Sprint-07
RES-04,[TASK][RES-04] Implementer tracking consultation ressources,P1,"RES-02, WEB-04",M5 - Core participant flows ready,RES,RES,resources,backlog,task,Implementer tracking consultation ressources,S,2,Sprint-07
SUP-04,[TASK][SUP-04] Configurer envoi email transactionnel (Resend ou equivalent),P1,SUP-01,M5 - Core participant flows ready,SUP,SUP,support,backlog,task,Configurer envoi email transactionnel (Resend ou equivalent),S,2,Sprint-06
SUP-05,[TASK][SUP-05] Ajouter suivi et statut basique des demandes support,P1,"SUP-01, AUT-05",M5 - Core participant flows ready,SUP,SUP,support,backlog,task,Ajouter suivi et statut basique des demandes support,S,3,Sprint-06
WEB-04,[TASK][WEB-04] Ajouter analytics web (PostHog/GA),P1,WEB-01,M5 - Core participant flows ready,WEB,WEB,website,backlog,task,Ajouter analytics web (PostHog/GA),S,2,Sprint-06
WEB-05,[TASK][WEB-05] Optimiser accessibilite/performance (objectif Lighthouse > 90),P1,"WEB-01, WEB-03",M5 - Core participant flows ready,WEB,WEB,website,backlog,task,Optimiser accessibilite/performance (objectif Lighthouse > 90),S,3,Sprint-06
QAT,[EPIC][QAT] QA,P0,"WEB, AUT, DSH, PRG, RES, ANN, SUP",M6 - QA ready,QAT,,qa,backlog,epic,"Verifier la conformite fonctionnelle, qualite et robustesse du MVP",M,26,Sprint-07
QAT-01,"[TASK][QAT-01] Definir matrice de couverture (page, composant, comportement)",P0,"SET-04, SET-05",M6 - QA ready,QAT,QAT,qa,backlog,task,"Definir matrice de couverture (page, composant, comportement)",S,3,Sprint-07
QAT-02,[TASK][QAT-02] Ecrire tests unitaires composants critiques web/mobile,P0,"QAT-01, WEB-01, MOB-02",M6 - QA ready,QAT,QAT,qa,backlog,task,Ecrire tests unitaires composants critiques web/mobile,M,5,Sprint-07
QAT-03,[TASK][QAT-03] Ecrire tests integration API modules critiques,P0,"QAT-01, AUT-02, PRG-02, RES-02, ANN-02, SUP-01",M6 - QA ready,QAT,QAT,qa,backlog,task,Ecrire tests integration API modules critiques,M,5,Sprint-07
QAT-04,[TASK][QAT-04] Ecrire E2E Given/When/Then pour parcours coeur participant,P0,"QAT-01, AUT-03, DSH-03, PRG-03, RES-03, SUP-02",M6 - QA ready,QAT,QAT,qa,backlog,task,Ecrire E2E Given/When/Then pour parcours coeur participant,M,5,Sprint-07
QAT-05,[TASK][QAT-05] Realiser campagne regression et corriger blockers,P0,"QAT-02, QAT-03, QAT-04",M6 - QA ready,QAT,QAT,qa,backlog,task,Realiser campagne regression et corriger blockers,M,5,Sprint-07
QAT-06,[TASK][QAT-06] Realiser checks accessibilite/performance pre-pilot,P1,"QAT-05, WEB-05",M6 - QA ready,QAT,QAT,qa,backlog,task,Realiser checks accessibilite/performance pre-pilot,S,3,Sprint-07
DEP,[EPIC][DEP] Deployment,P0,"QAT, WEB, MOB, SET",M7 - Pilot release ready,DEP,,deployment,backlog,epic,Preparer et executer un lancement pilote maitrise,L,27,Sprint-08
DEP-01,[TASK][DEP-01] Configurer environnements (dev/staging/pilot),P0,SET-07,M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Configurer environnements (dev/staging/pilot),S,3,Sprint-08
DEP-02,[TASK][DEP-02] Mettre en place pipeline deploiement web,P0,"SET-06, WEB-05",M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Mettre en place pipeline deploiement web,M,5,Sprint-08
DEP-03,[TASK][DEP-03] Mettre en place pipeline deploiement API,P0,"SET-06, QAT-03",M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Mettre en place pipeline deploiement API,M,5,Sprint-08
DEP-04,[TASK][DEP-04] Preparer distribution mobile test (APK/TestFlight interne),P0,"MOB-04, QAT-04",M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Preparer distribution mobile test (APK/TestFlight interne),M,5,Sprint-08
DEP-06,[TASK][DEP-06] Rediger runbook incident + rollback + pilot checklist,P0,"DEP-01, DEP-05, QAT-06",M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Rediger runbook incident + rollback + pilot checklist,S,3,Sprint-08
DEP-07,[TASK][DEP-07] Executer go/no-go pilote et publier release pilote,P0,"DEP-02, DEP-03, DEP-04, DEP-06",M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Executer go/no-go pilote et publier release pilote,S,3,Sprint-08
DEP-05,[TASK][DEP-05] Finaliser observabilite et alerting minimum,P1,"DEP-02, DEP-03",M7 - Pilot release ready,DEP,DEP,deployment,backlog,task,Finaliser observabilite et alerting minimum,S,3,Sprint-08
